N          P          Opt        Res        Err        Opt. Time  Res. Time 
31         5          501.94     504.32     0.47%      284.27ms   84.39ms   
32         5          461.00     461.00     0.00%      490.11ms   10.38ms   
32         6          425.17     425.17     0.00%      293.94ms   15.78ms   
33         5          479.65     479.65     -0.00%     296.60ms   56.99ms   
35         5          500.30     509.27     1.79%      64.29ms    19.67ms   
36         5          555.82     558.88     0.55%      617.09ms   28.94ms   
36         6          504.20     504.20     0.00%      51.02ms    6.22ms    
37         5          568.82     574.38     0.98%      160.10ms   5.18ms    
38         5          601.24     608.46     1.20%      180.06ms   5.08ms    
38         6          559.48     559.48     0.00%      160.51ms   54.10ms   
43         6          623.65     631.58     1.27%      462.00ms   47.29ms   
44         6          693.96     693.96     0.00%      724.96ms   10.76ms   
44         7          527.16     535.07     1.50%      507.45ms   56.72ms   
45         7          602.57     610.19     1.26%      781.20ms   713.62ms  
47         7          598.68     602.71     0.67%      563.68ms   40.82ms   
52         7          703.11     703.67     0.08%      355.73ms   27.75ms   
53         7          707.04     712.80     0.81%      1321.19ms  84.75ms   
54         9          575.68     579.68     0.69%      307.11ms   215.05ms  
59         9          632.60     634.94     0.37%      756.04ms   71.81ms   
60         9          612.65     615.33     0.44%      760.31ms   72.48ms   
61         8          791.22     794.65     0.43%      729.22ms   106.24ms  
62         10         669.99     674.23     0.63%      2181.27ms  2459.31ms 
62         9          681.27     690.23     1.32%      703.39ms   261.98ms  
63         9          721.45     726.40     0.69%      605.46ms   1492.53ms 
64         9          698.33     703.60     0.76%      1292.57ms  89.44ms   
68         9          816.51     819.34     0.35%      1387.66ms  175.23ms  
79         10         893.29     900.48     0.80%      2625.92ms  476.19ms  
