N          P          Opt        Res        Err        Opt. Time  Res. Time 
31         5          501.94     504.32     0.47%      468.09ms   124.86ms  
32         5          461.00     461.00     0.00%      597.21ms   17.60ms   
32         6          425.17     425.17     0.00%      366.46ms   37.52ms   
33         5          479.65     479.65     -0.00%     110.49ms   42.84ms   
35         5          500.30     509.27     1.79%      43.82ms    18.28ms   
36         5          555.82     558.88     0.55%      241.07ms   102.52ms  
36         6          504.20     504.20     0.00%      45.18ms    28.58ms   
37         5          568.82     574.38     0.98%      148.04ms   8.60ms    
38         5          601.24     608.46     1.20%      155.63ms   8.87ms    
38         6          559.48     559.48     0.00%      153.04ms   82.18ms   
43         6          623.65     631.58     1.27%      405.64ms   89.10ms   
44         6          693.96     693.96     0.00%      519.10ms   19.10ms   
44         7          527.16     535.07     1.50%      457.19ms   87.42ms   
45         7          602.57     610.19     1.26%      608.79ms   864.74ms  
47         7          598.68     602.71     0.67%      431.21ms   71.26ms   
52         7          703.11     703.67     0.08%      282.14ms   52.51ms   
53         7          707.04     712.80     0.81%      1029.24ms  144.03ms  
54         9          575.68     579.68     0.69%      219.61ms   340.42ms  
59         9          632.60     634.94     0.37%      585.48ms   100.80ms  
60         9          612.65     615.33     0.44%      660.25ms   94.84ms   
61         8          791.22     794.65     0.43%      584.22ms   211.51ms  
62         10         669.99     674.23     0.63%      1769.11ms  2620.70ms 
62         9          681.27     690.23     1.32%      550.49ms   494.34ms  
63         9          721.45     726.40     0.69%      486.13ms   2648.51ms 
64         9          698.33     703.60     0.76%      1068.13ms  138.29ms  
68         9          816.51     819.34     0.35%      1046.74ms  279.34ms  
79         10         893.29     900.48     0.80%      1995.77ms  913.91ms  
