N          P          Opt        Res        Err        Time      
100        5          6028.00    6091.06    1.05%      1230.36ms 
100        10         4537.00    4572.69    0.79%      315.75ms  
100        10         4504.00    4567.74    1.42%      759.13ms  
100        20         3561.00    3620.19    1.66%      5178.75ms 
100        33         2124.00    2144.38    0.96%      13183.51ms
200        5          7868.00    7995.00    1.61%      3725.43ms 
200        10         6048.00    6145.02    1.60%      2592.25ms 
200        20         5084.00    5170.85    1.71%      39293.86ms
200        40         3398.00    3466.96    2.03%      76685.15ms
200        67         2009.00    2039.87    1.54%      101544.66ms
