N          P          Opt        Res        Err        Time      
100        5          6028.00    6091.06    1.05%      409.42ms  
100        10         4537.00    4572.69    0.79%      335.42ms  
100        10         4504.00    4567.74    1.42%      991.36ms  
100        20         3561.00    3620.19    1.66%      5033.60ms 
100        33         2124.00    2144.38    0.96%      11060.66ms
200        5          7868.00    7995.00    1.61%      550.94ms  
200        10         6048.00    6145.02    1.60%      1146.52ms 
200        20         5084.00    5170.85    1.71%      24855.77ms
200        40         3398.00    3471.16    2.15%      70116.91ms
200        67         2009.00    2059.40    2.51%      105440.30ms
