N          P          Opt        Res        Err        Time      
100        5          6028.00    6091.06    1.05%      343.27ms  
100        10         4537.00    4572.69    0.79%      906.04ms  
100        10         4504.00    4567.74    1.42%      195.47ms  
100        20         3561.00    3620.19    1.66%      5634.91ms 
100        33         2124.00    2142.87    0.89%      107511.12ms
200        5          7868.00    7995.00    1.61%      1160.00ms 
200        10         6048.00    6151.01    1.70%      628.25ms  
200        20         5084.00    5170.85    1.71%      100483.21ms
200        40         3398.00    3462.77    1.91%      385170.18ms
200        67         2009.00    2037.58    1.42%      2203135.08ms
