N          P          Opt        Res        Err        Time      
100        5          6028.00    6131.06    1.71%      38.48ms   
100        10         4537.00    4572.69    0.79%      388.71ms  
100        10         4504.00    4638.37    2.98%      144.46ms  
100        20         3561.00    3751.13    5.34%      507.25ms  
100        33         2124.00    2150.64    1.25%      2015.20ms 
200        5          7868.00    8156.00    3.66%      42.88ms   
200        10         6048.00    6206.05    2.61%      508.66ms  
200        20         5084.00    5343.32    5.10%      2578.14ms 
200        40         3398.00    3551.58    4.52%      12333.51ms
200        67         2009.00    2061.40    2.61%      45928.80ms
