N          P          Opt        Res        Err        Time      
100        5          6028.00    6471.92    7.36%      253.54ms  
100        10         4537.00    4792.24    5.63%      1761.94ms 
100        10         4504.00    4798.30    6.53%      1905.18ms 
100        20         3561.00    3812.95    7.08%      7636.62ms 
100        33         2124.00    2198.27    3.50%      25343.57ms
200        5          7868.00    8315.90    5.69%      905.38ms  
200        10         6048.00    6400.85    5.83%      7739.12ms 
200        20         5084.00    5458.45    7.37%      32621.48ms
200        40         3398.00    3644.40    7.25%      109331.32ms
0          0          2009.00    0.00       -100.00%   0.00ms    
