N          P          Opt        Res        Err        Time      
100        5          6028.00    7131.40    18.30%     8.21ms    
100        10         4537.00    5537.61    22.05%     15.48ms   
100        10         4504.00    4938.42    9.65%      11.40ms   
100        20         3561.00    4585.61    28.77%     30.89ms   
100        33         2124.00    2914.95    37.24%     18.56ms   
200        5          7868.00    8247.71    4.83%      8.86ms    
200        10         6048.00    6885.45    13.85%     15.00ms   
200        20         5084.00    6008.43    18.18%     34.46ms   
200        40         3398.00    4366.03    28.49%     67.69ms   
200        67         2009.00    2833.86    41.06%     188.64ms  
