Instance        N               P               Opt             Opt. Time      
A-n32-k5        32              5               1.0000          4177.31        
A-n33-k5        33              5               1.0000          6951.37        
A-n33-k6        33              6               1.0000          2462.53        
A-n34-k5        34              5               1.0000          6673.95        
A-n36-k5        36              5               1.0000          7000.45        
A-n37-k5        37              5               1.0000          8768.11        
A-n37-k6        37              6               1.0000          8173.52        
A-n38-k5        38              5               1.0000          9271.18        
A-n39-k5        39              5               1.0000          14281.69       
A-n39-k6        39              6               1.0000          16296.10       
