N          P          Opt        Opt. Time  Cost       Avg        B-Mean    
31         5          437.15     84.65      437.15    7.20ms     8.00ms    
32         5          424.46     70.47      424.46    7.60ms     8.00ms    
32         6          350.72     40.68      350.72    10.67ms    7.00ms    
33         5          443.43     60.37      443.43    9.60ms     9.00ms    
35         5          468.01     60.60      468.01    10.00ms    9.50ms    
36         5          512.40     59.60      512.40    7.20ms     9.00ms    
36         6          480.80     51.73      480.80    8.00ms     7.33ms    
37         5          513.09     66.08      513.09    9.60ms     9.50ms    
38         5          560.26     67.23      560.26    8.40ms     9.50ms    
38         6          509.38     72.92      509.38    7.33ms     7.33ms    
43         6          564.83     79.94      564.83    15.00ms    9.67ms    
44         6          621.82     84.82      621.82    8.67ms     8.67ms    
44         7          479.89     86.63      479.89    10.29ms    8.00ms    
45         7          523.72     66.85      523.72    14.57ms    8.67ms    
47         7          546.46     60.76      546.46    11.71ms    8.67ms    
52         7          641.89     113.02     641.89    13.43ms    9.67ms    
53         7          635.48     111.36     635.48    15.71ms    10.00ms   
54         9          501.92     112.59     501.92    18.00ms    8.25ms    
59         9          566.26     133.32     566.26    12.44ms    8.00ms    
60         9          544.84     114.58     544.84    12.67ms    8.25ms    
61         8          728.03     118.54     728.03    19.00ms    10.00ms   
62         10         583.16     156.91     583.16    18.40ms    8.50ms    
62         9          648.11     99.35      648.11    13.11ms    8.50ms    
63         9          662.62     154.32     662.62    20.00ms    9.50ms    
64         9          628.39     98.74      628.39    19.11ms    9.50ms    
68         9          756.90     190.61     756.90    7.33ms     8.25ms    
79         10         843.95     191.12     843.95    13.00ms    9.50ms    
