N          P          Opt        Res        Err        Time      
100        5          0.00       6889.67    Infinity%  124.32ms  
100        10         0.00       5566.18    Infinity%  29.08ms   
100        10         0.00       5394.79    Infinity%  78.07ms   
100        20         0.00       4285.84    Infinity%  148.18ms  
100        33         0.00       2394.98    Infinity%  214.35ms  
200        5          0.00       9079.67    Infinity%  59.96ms   
200        10         0.00       7197.32    Infinity%  165.71ms  
200        20         0.00       5712.02    Infinity%  477.02ms  
200        40         0.00       3910.86    Infinity%  1483.23ms 
200        67         0.00       2332.78    Infinity%  4252.89ms 
300        5          0.00       10527.14   Infinity%  57.09ms   
300        10         0.00       8181.19    Infinity%  298.74ms  
300        30         0.00       5497.25    Infinity%  2044.64ms 
300        60         0.00       4170.60    Infinity%  7852.00ms 
300        100        0.00       2795.14    Infinity%  22709.85ms
400        5          0.00       9940.36    Infinity%  138.02ms  
400        10         0.00       8293.66    Infinity%  286.56ms  
400        40         0.00       5875.60    Infinity%  7326.18ms 
400        80         0.00       3911.48    Infinity%  36204.83ms
400        133        0.00       2984.78    Infinity%  49798.24ms
500        5          0.00       12131.69   Infinity%  111.45ms  
500        10         0.00       10166.30   Infinity%  715.02ms  
500        50         0.00       5836.10    Infinity%  16358.08ms
500        100        0.00       4216.24    Infinity%  51394.02ms
500        167        0.00       3343.48    Infinity%  49579.25ms
600        5          0.00       11602.18   Infinity%  402.11ms  
600        10         0.00       10314.21   Infinity%  1057.21ms 
600        60         0.00       5711.25    Infinity%  31508.86ms
600        120        0.00       4456.96    Infinity%  86227.04ms
600        200        0.00       3633.55    Infinity%  97259.07ms
700        5          0.00       11452.65   Infinity%  665.84ms  
700        10         0.00       11369.36   Infinity%  1602.88ms 
700        70         0.00       5775.32    Infinity%  74954.56ms
700        140        0.00       4736.25    Infinity%  99083.86ms
800        5          0.00       12125.90   Infinity%  475.64ms  
800        10         0.00       12036.35   Infinity%  871.68ms  
800        80         0.00       6422.32    Infinity%  111764.80ms
900        5          0.00       13582.39   Infinity%  786.94ms  
900        10         0.00       11569.87   Infinity%  1608.02ms 
900        90         0.00       6650.43    Infinity%  146940.06ms
